game_id,names,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,image_url,age,mechanic,owned,category,designer,num_votes
174430,Gloomhaven,1,4,120,60,120,2017,8.98893,https://cf.geekdo-images.com/original/img/lDN358RgcYvQfYYN6Oy2TXpifyM=/0x0/pic2437871.jpg,12,"Action / Movement Programming, Co-operative Play, Grid Movement, Hand Management, Modular Board, Role Playing, Simultaneous Action Selection, Storytelling, Variable Player Powers",25928,"Adventure, Exploration, Fantasy, Fighting, Miniatures",Isaac Childres,15376
161936,Pandemic Legacy: Season 1,2,4,60,60,60,2015,8.6614,https://cf.geekdo-images.com/original/img/P_SwsOtPLqgk2ScCgI2YrI9Rg6I=/0x0/pic2452831.png,13,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers",41605,"Environmental, Medical","Rob Daviau, Matt Leacock",26063
182028,Through the Ages: A New Story of Civilization,2,4,240,180,240,2015,8.60673,https://cf.geekdo-images.com/original/img/1d2h-kr4r_9xsss2Br6iMvjR9q0=/0x0/pic2663291.jpg,14,"Action Point Allowance System, Auction/Bidding, Card Drafting",15848,"Card Game, Civilization, Economic",Vlaada Chvátil,12352
167791,Terraforming Mars,1,5,120,120,120,2016,8.38461,https://cf.geekdo-images.com/original/img/o8z_levBVArPUKI7ZrIysZEs1A0=/0x0/pic3536616.jpg,12,"Card Drafting, Hand Management, Set Collection, Tile Placement, Variable Player Powers",33340,"Economic, Environmental, Industry / Manufacturing, Science Fiction, Territory Building",Jacob Fryxelius,26004
12333,Twilight Struggle,2,2,180,120,180,2005,8.33954,https://cf.geekdo-images.com/original/img/ZPnnm7v2RTJ6fAZeeseA5WbC9DU=/0x0/pic361592.jpg,13,"Area Control / Area Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management, Simultaneous Action Selection",42952,"Modern Warfare, Political, Wargame","Ananda Gupta, Jason Matthews",31301
187645,Star Wars: Rebellion,2,4,240,180,240,2016,8.47439,https://cf.geekdo-images.com/original/img/QT959HnYmUxmUqSMp0V7LxF1-tA=/0x0/pic2737530.png,14,"Area Control / Area Influence, Area Movement, Dice Rolling, Hand Management, Partnerships, Variable Player Powers",20682,"Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame",Corey Konieczka,13336
169786,Scythe,1,5,115,90,115,2016,8.29158,https://cf.geekdo-images.com/original/img/enxCZt0Cn78-rlvmPvGtOej1ios=/0x0/pic3163924.jpg,14,"Area Control / Area Influence, Grid Movement, Simultaneous Action Selection, Variable Player Powers",38279,"Civilization, Economic, Fighting, Miniatures, Science Fiction, Territory Building",Jamey Stegmaier,29219
120677,Terra Mystica,2,5,150,60,150,2012,8.23703,https://cf.geekdo-images.com/original/img/CynjY3GgwPTg34abNIv8eLX1pXs=/0x0/pic1356616.jpg,12,"Area Control / Area Influence, Route/Network Building, Variable Phase Order, Variable Player Powers",32637,"Civilization, Economic, Fantasy, Territory Building","Jens Drögemüller, Helge Ostertag",29309
193738,Great Western Trail,2,4,150,75,150,2016,8.28574,https://cf.geekdo-images.com/original/img/U3RnjWjCHNkm4LVps_HNDHeuUI4=/0x0/pic3113247.jpg,12,"Deck / Pool Building, Hand Management, Point to Point Movement",16869,American West,Alexander Pfister,13521
180263,The 7th Continent,1,4,1000,5,1000,2017,8.67228,https://cf.geekdo-images.com/original/img/iQDBaRJ2LxJba_M7gPZj24eHwBc=/0x0/pic2648303.jpg,14,"Co-operative Play, Grid Movement, Hand Management, Modular Board, Storytelling, Variable Player Powers",12543,"Adventure, Card Game, Exploration, Horror, Science Fiction","Ludovic Roudy, Bruno Sautter",6057
220308,Gaia Project,1,4,150,60,150,2017,8.68217,https://cf.geekdo-images.com/original/img/FpQ2ODFHSgDGfEpskL0Uu2xyYMA=/0x0/pic3763556.jpg,12,"Modular Board, Route/Network Building, Variable Player Powers",6243,"Civilization, Economic, Science Fiction, Territory Building","Jens Drögemüller, Helge Ostertag",4860
